ID,最近一次使用消费券的折扣,历史使用优惠券折扣的最大值,历史购买总次数,最近一次消费金额,历史消费金额的平均值,历史使用优惠券的频率,历史使用优惠券的总次数,历史购买产品数量,最近一次购买宝贝数量,Action,next.1,next.2,next.3,next.4,next.5,next.6,next.7,next.8,next.9,Reward
0.0,3.0,4.0,29.0,187.9,181.44482758620688,1.0,29.0,38.0,1.0,2.0,2.0,4.0,30.0,108.0,178.99666666666664,1.0,30.0,39.0,1.0,68.0
0.0,2.0,4.0,30.0,108.0,178.99666666666664,1.0,30.0,39.0,1.0,4.0,4.0,4.0,31.0,399.0,186.09354838709677,1.0,31.0,40.0,1.0,138.0
0.0,4.0,4.0,31.0,399.0,186.09354838709677,1.0,31.0,40.0,1.0,0.0,0.0,4.0,32.0,187.9,186.14999999999998,1.0,32.0,41.0,1.0,0.0
0.0,0.0,4.0,32.0,187.9,186.14999999999998,1.0,32.0,41.0,1.0,2.0,0.0,4.0,32.0,187.9,186.14999999999998,1.0,32.0,41.0,1.0,0.0
0.0,0.0,4.0,32.0,187.9,186.14999999999998,1.0,32.0,41.0,1.0,0.0,0.0,4.0,33.0,187.9,186.20303030303026,1.0,33.0,42.0,1.0,0.0
0.0,0.0,4.0,33.0,187.9,186.20303030303026,1.0,33.0,42.0,1.0,0.0,0.0,4.0,34.0,187.9,186.25294117647056,1.0,34.0,43.0,2.0,0.0
0.0,0.0,4.0,34.0,187.9,186.25294117647056,1.0,34.0,43.0,2.0,2.0,2.0,4.0,35.0,199.0,186.61714285714282,1.0,35.0,45.0,1.0,133.86
0.0,2.0,4.0,35.0,199.0,186.61714285714282,1.0,35.0,45.0,1.0,2.0,2.0,4.0,36.0,250.1,188.38055555555553,1.0,36.0,46.0,1.0,174.4
0.0,2.0,4.0,36.0,250.1,188.38055555555553,1.0,36.0,46.0,1.0,3.0,2.0,4.0,36.0,250.1,188.38055555555553,1.0,36.0,46.0,1.0,0.0
0.0,2.0,4.0,36.0,250.1,188.38055555555553,1.0,36.0,46.0,1.0,0.0,0.0,4.0,37.0,187.9,188.36756756756753,1.0,37.0,47.0,2.0,0.0
0.0,0.0,4.0,37.0,187.9,188.36756756756753,1.0,37.0,47.0,2.0,2.0,2.0,4.0,38.0,108.0,186.25263157894733,1.0,38.0,49.0,1.0,68.0
0.0,2.0,4.0,38.0,108.0,186.25263157894733,1.0,38.0,49.0,1.0,0.0,0.0,4.0,39.0,187.9,186.29487179487174,1.0,39.0,50.0,1.0,0.0
0.0,0.0,4.0,39.0,187.9,186.29487179487174,1.0,39.0,50.0,1.0,0.0,0.0,4.0,39.0,187.9,186.29487179487174,1.0,39.0,50.0,1.0,0.0
0.0,0.0,4.0,39.0,187.9,186.29487179487174,1.0,39.0,50.0,1.0,2.0,2.0,4.0,40.0,108.0,184.33749999999995,1.0,40.0,51.0,1.0,68.0
0.0,2.0,4.0,40.0,108.0,184.33749999999995,1.0,40.0,51.0,1.0,2.0,2.0,4.0,41.0,108.0,182.47560975609753,1.0,41.0,52.0,1.0,65.96
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,299.0,299.0,1.0,1.0,2.0,1.0,179.58
1.0,2.0,2.0,1.0,299.0,299.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,108.0,203.5,1.0,2.0,3.0,1.0,65.96
1.0,2.0,2.0,2.0,108.0,203.5,1.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,299.0,235.33333333333334,1.0,3.0,4.0,1.0,135.65
1.0,3.0,3.0,3.0,299.0,235.33333333333334,1.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,299.0,235.33333333333334,1.0,3.0,4.0,1.0,0.0
1.0,3.0,3.0,3.0,299.0,235.33333333333334,1.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,108.0,203.5,1.0,4.0,5.0,1.0,65.96
1.0,2.0,3.0,4.0,108.0,203.5,1.0,4.0,5.0,1.0,3.0,3.0,3.0,5.0,599.0,282.6,1.0,5.0,6.0,1.0,306.96
1.0,3.0,3.0,5.0,599.0,282.6,1.0,5.0,6.0,1.0,2.0,2.0,3.0,6.0,108.0,253.5,1.0,6.0,7.0,1.0,65.96
1.0,2.0,3.0,6.0,108.0,253.5,1.0,6.0,7.0,1.0,4.0,4.0,4.0,7.0,598.0,302.7142857142857,1.0,7.0,8.0,1.0,230.07
1.0,4.0,4.0,7.0,598.0,302.7142857142857,1.0,7.0,8.0,1.0,2.0,2.0,4.0,8.0,108.0,278.375,1.0,8.0,9.0,2.0,65.96
1.0,2.0,4.0,8.0,108.0,278.375,1.0,8.0,9.0,2.0,3.0,3.0,4.0,9.0,599.0,314.0,1.0,9.0,11.0,3.0,306.96
1.0,3.0,4.0,9.0,599.0,314.0,1.0,9.0,11.0,3.0,2.0,2.0,4.0,10.0,299.0,312.5,1.0,10.0,14.0,1.0,179.58
1.0,2.0,4.0,10.0,299.0,312.5,1.0,10.0,14.0,1.0,2.0,2.0,4.0,11.0,108.0,293.90909090909093,1.0,11.0,15.0,1.0,65.96
1.0,2.0,4.0,11.0,108.0,293.90909090909093,1.0,11.0,15.0,1.0,4.0,4.0,4.0,12.0,598.0,319.25,1.0,12.0,16.0,3.0,230.07
1.0,4.0,4.0,12.0,598.0,319.25,1.0,12.0,16.0,3.0,4.0,4.0,4.0,13.0,598.0,340.6923076923077,1.0,13.0,19.0,1.0,230.04
1.0,4.0,4.0,13.0,598.0,340.6923076923077,1.0,13.0,19.0,1.0,3.0,3.0,4.0,14.0,599.0,359.14285714285717,1.0,14.0,20.0,1.0,306.96
1.0,3.0,4.0,14.0,599.0,359.14285714285717,1.0,14.0,20.0,1.0,3.0,3.0,4.0,15.0,187.9,347.72666666666663,1.0,15.0,21.0,1.0,99.8
1.0,3.0,4.0,15.0,187.9,347.72666666666663,1.0,15.0,21.0,1.0,3.0,3.0,4.0,16.0,187.9,337.73749999999995,1.0,16.0,22.0,1.0,96.81
1.0,3.0,4.0,16.0,187.9,337.73749999999995,1.0,16.0,22.0,1.0,0.0,0.0,4.0,17.0,598.0,353.04705882352937,1.0,17.0,23.0,1.0,0.0
1.0,0.0,4.0,17.0,598.0,353.04705882352937,1.0,17.0,23.0,1.0,2.0,2.0,4.0,18.0,199.0,344.4888888888888,1.0,18.0,24.0,1.0,138.0
1.0,2.0,4.0,18.0,199.0,344.4888888888888,1.0,18.0,24.0,1.0,2.0,2.0,4.0,18.0,199.0,344.4888888888888,1.0,18.0,24.0,1.0,0.0
1.0,2.0,4.0,18.0,199.0,344.4888888888888,1.0,18.0,24.0,1.0,0.0,0.0,4.0,19.0,598.0,357.83157894736837,1.0,19.0,25.0,1.0,0.0
1.0,0.0,4.0,19.0,598.0,357.83157894736837,1.0,19.0,25.0,1.0,4.0,4.0,4.0,20.0,598.0,369.84,1.0,20.0,26.0,1.0,230.07
1.0,4.0,4.0,20.0,598.0,369.84,1.0,20.0,26.0,1.0,3.0,3.0,4.0,21.0,187.9,361.1761904761904,1.0,21.0,27.0,1.0,96.81
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,108.0,108.0,1.0,1.0,2.0,1.0,57.85
2.0,3.0,3.0,1.0,108.0,108.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,108.0,108.0,1.0,2.0,3.0,1.0,57.85
2.0,3.0,3.0,2.0,108.0,108.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,108.0,108.0,1.0,3.0,4.0,1.0,68.0
2.0,2.0,3.0,3.0,108.0,108.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,108.0,108.0,1.0,3.0,4.0,1.0,0.0
2.0,2.0,3.0,3.0,108.0,108.0,1.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,108.0,108.0,1.0,4.0,5.0,1.0,57.85
