ID,平均价格,最近一次使用消费券的折扣,历史使用优惠券折扣的最大值,历史购买总次数,最近一次消费金额,历史消费金额的平均值,历史使用优惠券的频率,历史使用优惠券的总次数,历史购买产品数量,最近一次购买宝贝数量,历史购买产品最大平均值,Action,next.1,next.2,next.3,next.4,next.5,next.6,next.7,next.8,next.9,next.10,next.11,Reward
0.0,108.0,3.0,4.0,23.0,187.9,205.36521739130433,0.8695652173913043,20.0,39.0,1.0,599.0,2.0,375.8,2.0,4.0,24.0,108.0,201.3083333333333,0.875,21.0,40.0,1.0,599.0,68.0
0.0,375.8,2.0,4.0,24.0,108.0,201.3083333333333,0.875,21.0,40.0,1.0,599.0,3.0,399.0,2.0,4.0,24.0,108.0,201.3083333333333,0.875,21.0,40.0,1.0,599.0,0.0
0.0,399.0,2.0,4.0,24.0,108.0,201.3083333333333,0.875,21.0,40.0,1.0,599.0,4.0,187.9,4.0,4.0,25.0,399.0,209.21599999999998,0.88,22.0,41.0,1.0,599.0,120.43
0.0,187.9,4.0,4.0,25.0,399.0,209.21599999999998,0.88,22.0,41.0,1.0,599.0,3.0,187.9,3.0,4.0,26.0,187.9,208.39615384615382,0.8846153846153846,23.0,42.0,1.0,599.0,99.8
0.0,187.9,3.0,4.0,26.0,187.9,208.39615384615382,0.8846153846153846,23.0,42.0,1.0,599.0,4.0,250.1,3.0,4.0,26.0,187.9,208.39615384615382,0.8846153846153846,23.0,42.0,1.0,599.0,0.0
0.0,250.1,3.0,4.0,26.0,187.9,208.39615384615382,0.8846153846153846,23.0,42.0,1.0,599.0,2.0,108.0,2.0,4.0,27.0,250.1,209.94074074074072,0.8888888888888888,24.0,43.0,1.0,599.0,175.32
0.0,108.0,2.0,4.0,27.0,250.1,209.94074074074072,0.8888888888888888,24.0,43.0,1.0,599.0,2.0,187.9,2.0,4.0,28.0,108.0,206.29999999999998,0.8928571428571429,25.0,44.0,1.0,599.0,68.0
0.0,187.9,2.0,4.0,28.0,108.0,206.29999999999998,0.8928571428571429,25.0,44.0,1.0,599.0,3.0,499.0,3.0,4.0,29.0,187.9,205.6655172413793,0.896551724137931,26.0,45.0,1.0,599.0,99.8
0.0,499.0,3.0,4.0,29.0,187.9,205.6655172413793,0.896551724137931,26.0,45.0,1.0,599.0,2.0,250.1,2.0,4.0,30.0,499.0,215.4433333333333,0.9,27.0,46.0,1.0,599.0,348.0
0.0,250.1,2.0,4.0,30.0,499.0,215.4433333333333,0.9,27.0,46.0,1.0,599.0,1.0,108.0,1.0,4.0,31.0,250.1,216.56129032258065,0.9032258064516129,28.0,47.0,1.0,599.0,209.0
0.0,108.0,1.0,4.0,31.0,250.1,216.56129032258065,0.9032258064516129,28.0,47.0,1.0,599.0,2.0,216.0,1.0,4.0,31.0,250.1,216.56129032258065,0.9032258064516129,28.0,47.0,1.0,599.0,0.0
0.0,216.0,1.0,4.0,31.0,250.1,216.56129032258065,0.9032258064516129,28.0,47.0,1.0,599.0,2.0,108.0,2.0,4.0,32.0,216.0,216.54375,0.90625,29.0,48.0,1.0,599.0,136.0
0.0,108.0,2.0,4.0,32.0,216.0,216.54375,0.90625,29.0,48.0,1.0,599.0,1.0,108.0,2.0,4.0,33.0,108.0,213.25454545454545,0.8787878787878788,29.0,49.0,1.0,599.0,0.0
0.0,108.0,2.0,4.0,33.0,108.0,213.25454545454545,0.8787878787878788,29.0,49.0,1.0,599.0,2.0,108.0,2.0,4.0,34.0,108.0,210.15882352941176,0.8823529411764706,30.0,50.0,1.0,599.0,68.0
0.0,108.0,2.0,4.0,34.0,108.0,210.15882352941176,0.8823529411764706,30.0,50.0,1.0,599.0,2.0,399.0,2.0,4.0,35.0,108.0,207.23999999999998,0.8857142857142857,31.0,51.0,1.0,599.0,65.96
0.0,399.0,2.0,4.0,35.0,108.0,207.23999999999998,0.8857142857142857,31.0,51.0,1.0,599.0,4.0,187.9,2.0,4.0,35.0,108.0,207.23999999999998,0.8857142857142857,31.0,51.0,1.0,599.0,0.0
0.0,187.9,2.0,4.0,35.0,108.0,207.23999999999998,0.8857142857142857,31.0,51.0,1.0,599.0,4.0,187.9,2.0,4.0,35.0,108.0,207.23999999999998,0.8857142857142857,31.0,51.0,1.0,599.0,0.0
0.0,187.9,2.0,4.0,35.0,108.0,207.23999999999998,0.8857142857142857,31.0,51.0,1.0,599.0,1.0,187.9,2.0,4.0,35.0,108.0,207.23999999999998,0.8857142857142857,31.0,51.0,1.0,599.0,0.0
0.0,187.9,2.0,4.0,35.0,108.0,207.23999999999998,0.8857142857142857,31.0,51.0,1.0,599.0,3.0,108.0,3.0,4.0,36.0,187.9,206.70277777777775,0.8888888888888888,32.0,52.0,1.0,599.0,80.29
0.0,108.0,3.0,4.0,36.0,187.9,206.70277777777775,0.8888888888888888,32.0,52.0,1.0,599.0,2.0,250.1,2.0,4.0,37.0,108.0,204.0351351351351,0.8918918918918919,33.0,53.0,1.0,599.0,68.0
