编号,最近一次使用消费券的折扣,历史使用优惠券折扣的最大值,历史购买总次数,最近一次消费金额,历史消费金额的平均值,历史使用优惠券的频率,历史使用优惠券的总次数,历史购买产品数量,Action,next.1,next.2,next.3,next.4,next.5,next.6,next.7,next.8,Reward
2.0,3.0,3.0,13.0,96.03,140.01153846153846,1.0,13.0,13.0,1.0,1.0,3.0,14.0,68.0,134.86785714285713,1.0,14.0,14.0,68.0
2.0,1.0,3.0,14.0,68.0,134.86785714285713,1.0,14.0,14.0,1.0,1.0,3.0,15.0,133.86,134.80066666666664,1.0,15.0,15.0,133.86
2.0,1.0,3.0,15.0,133.86,134.80066666666664,1.0,15.0,15.0,3.0,3.0,3.0,15.0,133.86,134.80066666666664,1.0666666666666667,16.0,15.0,0.0
2.0,3.0,3.0,15.0,133.86,134.80066666666664,1.0666666666666667,16.0,15.0,0.0,0.0,3.0,16.0,366.25,149.26624999999999,1.0625,17.0,16.0,366.25
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,179.8,179.8,1.0,1.0,1.0,179.8
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,133.86,133.86,1.0,1.0,1.0,133.86
4.0,1.0,1.0,1.0,133.86,133.86,1.0,1.0,1.0,2.0,2.0,2.0,2.0,99.8,116.83000000000001,1.0,2.0,2.0,99.8
4.0,2.0,2.0,2.0,99.8,116.83000000000001,1.0,2.0,2.0,3.0,3.0,3.0,3.0,113.9,115.85333333333335,1.0,3.0,3.0,113.9
4.0,3.0,3.0,3.0,113.9,115.85333333333335,1.0,3.0,3.0,3.0,3.0,3.0,4.0,83.41,107.7425,1.0,4.0,4.0,83.41
4.0,3.0,3.0,4.0,83.41,107.7425,1.0,4.0,4.0,2.0,2.0,3.0,5.0,173.96,120.98600000000002,1.0,5.0,5.0,173.96
4.0,2.0,3.0,5.0,173.96,120.98600000000002,1.0,5.0,5.0,2.0,2.0,3.0,6.0,81.07,114.33333333333333,1.0,6.0,6.0,81.07
4.0,2.0,3.0,6.0,81.07,114.33333333333333,1.0,6.0,6.0,3.0,3.0,3.0,7.0,125.81,115.97285714285714,1.0,7.0,7.0,125.81
4.0,3.0,3.0,7.0,125.81,115.97285714285714,1.0,7.0,7.0,2.0,2.0,3.0,8.0,111.29,115.38749999999999,1.0,8.0,8.0,111.29
4.0,2.0,3.0,8.0,111.29,115.38749999999999,1.0,8.0,8.0,1.0,1.0,3.0,9.0,307.27,136.70777777777778,1.0,9.0,9.0,307.27
4.0,1.0,3.0,9.0,307.27,136.70777777777778,1.0,9.0,9.0,2.0,2.0,3.0,10.0,99.8,133.017,1.0,10.0,10.0,99.8
4.0,2.0,3.0,10.0,99.8,133.017,1.0,10.0,10.0,1.0,1.0,3.0,11.0,68.0,127.10636363636362,1.0,11.0,11.0,68.0
4.0,1.0,3.0,11.0,68.0,127.10636363636362,1.0,11.0,11.0,1.0,1.0,3.0,12.0,208.0,133.8475,1.0,12.0,12.0,208.0
4.0,1.0,3.0,12.0,208.0,133.8475,1.0,12.0,12.0,2.0,2.0,3.0,13.0,96.81,130.99846153846153,1.0,13.0,13.0,96.81
4.0,2.0,3.0,13.0,96.81,130.99846153846153,1.0,13.0,13.0,0.0,0.0,3.0,14.0,413.82,151.2,1.0,14.0,15.0,413.82
4.0,0.0,3.0,14.0,413.82,151.2,1.0,14.0,15.0,3.0,3.0,3.0,14.0,413.82,151.2,1.0714285714285714,15.0,15.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,116.21,116.21,1.0,1.0,2.0,116.21
5.0,3.0,3.0,1.0,116.21,116.21,1.0,1.0,2.0,2.0,2.0,3.0,2.0,80.83,98.52,1.0,2.0,3.0,80.83
5.0,2.0,3.0,2.0,80.83,98.52,1.0,2.0,3.0,2.0,2.0,3.0,3.0,83.57,93.53666666666668,1.0,3.0,4.0,83.57
5.0,2.0,3.0,3.0,83.57,93.53666666666668,1.0,3.0,4.0,2.0,2.0,3.0,4.0,84.18,91.1975,1.0,4.0,5.0,84.18
5.0,2.0,3.0,4.0,84.18,91.1975,1.0,4.0,5.0,1.0,1.0,3.0,5.0,138.0,100.558,1.0,5.0,6.0,138.0
5.0,1.0,3.0,5.0,138.0,100.558,1.0,5.0,6.0,2.0,2.0,3.0,6.0,99.8,100.43166666666667,1.0,6.0,7.0,99.8
5.0,2.0,3.0,6.0,99.8,100.43166666666667,1.0,6.0,7.0,3.0,3.0,3.0,6.0,99.8,100.43166666666667,1.1666666666666667,7.0,7.0,0.0
5.0,3.0,3.0,6.0,99.8,100.43166666666667,1.1666666666666667,7.0,7.0,2.0,2.0,3.0,7.0,80.57,97.59428571428573,1.1428571428571428,8.0,8.0,80.57
5.0,2.0,3.0,7.0,80.57,97.59428571428573,1.1428571428571428,8.0,8.0,3.0,3.0,3.0,8.0,112.09,99.40625000000001,1.125,9.0,9.0,112.09
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,99.8,99.8,1.0,1.0,1.0,99.8
6.0,2.0,2.0,1.0,99.8,99.8,1.0,1.0,1.0,1.0,1.0,2.0,2.0,131.92,115.85999999999999,1.0,2.0,3.0,131.92
6.0,1.0,2.0,2.0,131.92,115.85999999999999,1.0,2.0,3.0,3.0,3.0,3.0,3.0,122.37,118.02999999999999,1.0,3.0,4.0,122.37
6.0,3.0,3.0,3.0,122.37,118.02999999999999,1.0,3.0,4.0,3.0,3.0,3.0,4.0,111.75,116.46,1.0,4.0,5.0,111.75
6.0,3.0,3.0,4.0,111.75,116.46,1.0,4.0,5.0,2.0,2.0,3.0,5.0,166.45,126.458,1.0,5.0,7.0,166.45
6.0,2.0,3.0,5.0,166.45,126.458,1.0,5.0,7.0,3.0,3.0,3.0,6.0,138.0,128.38166666666666,1.0,6.0,8.0,138.0
6.0,3.0,3.0,6.0,138.0,128.38166666666666,1.0,6.0,8.0,2.0,2.0,3.0,7.0,84.27,122.08,1.0,7.0,9.0,84.27
6.0,2.0,3.0,7.0,84.27,122.08,1.0,7.0,9.0,1.0,1.0,3.0,8.0,318.0,146.57,1.0,8.0,10.0,318.0
6.0,1.0,3.0,8.0,318.0,146.57,1.0,8.0,10.0,1.0,1.0,3.0,9.0,297.01,163.28555555555556,1.0,9.0,11.0,297.01
6.0,1.0,3.0,9.0,297.01,163.28555555555556,1.0,9.0,11.0,3.0,3.0,3.0,10.0,82.58,155.21499999999997,1.0,10.0,12.0,82.58
6.0,3.0,3.0,10.0,82.58,155.21499999999997,1.0,10.0,12.0,3.0,3.0,3.0,11.0,120.43,152.05272727272725,1.0,11.0,13.0,120.43
6.0,3.0,3.0,11.0,120.43,152.05272727272725,1.0,11.0,13.0,3.0,3.0,3.0,12.0,189.0,155.13166666666666,1.0,12.0,14.0,189.0
6.0,3.0,3.0,12.0,189.0,155.13166666666666,1.0,12.0,14.0,3.0,3.0,3.0,12.0,189.0,155.13166666666666,1.0833333333333333,13.0,14.0,0.0
6.0,3.0,3.0,12.0,189.0,155.13166666666666,1.0833333333333333,13.0,14.0,1.0,1.0,3.0,13.0,68.0,148.42923076923077,1.0769230769230769,14.0,15.0,68.0
6.0,1.0,3.0,13.0,68.0,148.42923076923077,1.0769230769230769,14.0,15.0,1.0,1.0,3.0,14.0,173.53,150.22214285714287,1.0714285714285714,15.0,17.0,173.53
6.0,1.0,3.0,14.0,173.53,150.22214285714287,1.0714285714285714,15.0,17.0,3.0,3.0,3.0,15.0,138.0,149.40733333333336,1.0666666666666667,16.0,18.0,138.0
6.0,3.0,3.0,15.0,138.0,149.40733333333336,1.0666666666666667,16.0,18.0,1.0,1.0,3.0,16.0,65.96,144.191875,1.0625,17.0,19.0,65.96
6.0,1.0,3.0,16.0,65.96,144.191875,1.0625,17.0,19.0,3.0,3.0,3.0,17.0,133.86,143.58411764705883,1.0588235294117647,18.0,20.0,133.86
